name,url,inn,ogrn,registration_date,director_since,has_ceo_history,arbitr_cases_count,revenue,profit,email,website,matched,reasons
"ООО ""Иском""",https://www.rusprofile.ru/id/1732959,,,23.11.2007,с 24 июня 2022 г.,True,3,1400000000,-21000000,contact@iskom.biz,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'нет сайта или почты']"
"ООО ""Адгейзер""",https://www.rusprofile.ru/id/1642270,,,27.03.2003,с 28 августа 2018 г.,True,26,559000000,23000000,adheser@adheser.ru,adheser.ru,False,"['выручка положительная', 'прибыль положительная']"
"АО ""ТПК ""Квадро-Импэкс""",https://www.rusprofile.ru/id/3940174,,,15.03.2000,с 12 декабря 2014 г.,False,56,1200000000,2800000,123@4480000.ru,kvadro-impex.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Визит-Москва""",https://www.rusprofile.ru/id/3709277,,,29.07.1993,с 18 октября 2021 г.,True,41,614000000,12000000,info@visit-m.ru,visitm.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""УТС Технониколь""",https://www.rusprofile.ru/id/2398714,,,04.12.2000,,True,2660,32000000000,1000000000,zakaz-info@tstn.ru,krovizol.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Вторсплав""",https://www.rusprofile.ru/id/5211842,,,08.11.2010,с 27 мая 2026 г.,True,5,1100000000,3400000,3801229@mail.ru,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Муроммаш Лит""",https://www.rusprofile.ru/id/130084,,,19.04.2004,с 5 июля 2022 г.,True,52,857000000,-3400000,murommash_lit@mail.ru,,False,"['выручка положительная', 'нет сайта или почты']"
"ООО ""Корпорация Энергомашэкспорт""",https://www.rusprofile.ru/id/1122955,,,19.05.1997,с 18 октября 2016 г.,True,21,1700000000,-97000000,mue@emeco.ru,emeco.ru,False,['выручка положительная']
"ООО ""Максимум""",https://www.rusprofile.ru/id/6778870,,,24.10.2012,с 1 октября 2019 г.,True,10,302000000,-45000000,buh@ooomaximum.ru,ooomaximum.ru,False,['выручка положительная']
"ООО ""Морошка""",https://www.rusprofile.ru/id/298760,,,17.03.2004,с 2 октября 2008 г.,False,30,531000000,-12000000,info@santonit.ru,likemyhome.ru,False,"['нет плашки истории руководителей', 'выручка положительная']"
"ООО ""Ди.Ар.Ви.""",https://www.rusprofile.ru/id/3906009,,,01.10.2002,с 25 апреля 2025 г.,True,8,339000000,-11000000,22sales@d-r-v.ru,d-r-v.ru,False,['выручка положительная']
"ООО ""Посмотека""",https://www.rusprofile.ru/id/1382072,,,04.08.2003,,False,114,3700000000,60000000,antipova_t@pvg.ru,pvg.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"АО ""ФТ""",https://www.rusprofile.ru/id/1701763,,,11.10.2007,с 11 марта 2025 г.,True,27,2700000000,227000000,7733625292_773301001@eo.tensor.ru,aviahelp.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Трейдкомфорт-Сибирь""",https://www.rusprofile.ru/id/3389832,,,17.04.2008,с 17 апреля 2008 г.,False,59,602000000,1400000,tomsk@trade-comfort.ru,trade-comfort.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Скипер""",https://www.rusprofile.ru/id/10684871,,,10.10.2016,с 1 июля 2022 г.,True,1,326000000,573000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ТВ ""Ад Русс"" и КО""",https://www.rusprofile.ru/id/4341121,,,06.03.2003,с 10 декабря 2004 г.,False,4,6100000000,191000000,adrussia@adrussia.ru,adrussia.ru,False,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""ЗГ Строймонтаж""",https://www.rusprofile.ru/id/839105,,,10.04.1997,с 5 декабря 2008 г.,False,57,11000000000,1900000000,not6682603@yandex.ru,zgstm.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Альянс-Про""",https://www.rusprofile.ru/id/10411509,,,28.03.2016,с 29 июля 2025 г.,True,9,1000000000,24000000,info@alliance-p.ru,alliance-p.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""ТД"" Доктор Аппетит""",https://www.rusprofile.ru/id/5651613,,,12.04.2011,с 5 июня 2024 г.,True,15,4000000000,14000000,konstantin.gusyatinskiy@capitalnd.ru,ivoin.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Уникс""",https://www.rusprofile.ru/id/11298773,,,15.01.2018,с 21 сентября 2023 г.,True,6,1500000000,294000000,sales6@unix.ru.com,goods-pro.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ТД ""Ито-Туламаш""",https://www.rusprofile.ru/id/10860934,,,30.01.2017,с 10 ноября 2022 г.,True,125,424000000,6000000,info@itotulamash.ru,itotulamash.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Русбытхим""",https://www.rusprofile.ru/id/223738,,,19.03.2008,с 11 июля 2018 г.,True,30,989000000,83000000,e.muravieva@rusautolack.ru,rusautolack.ru,False,"['выручка положительная', 'прибыль положительная']"
"АО ""Контракт""",https://www.rusprofile.ru/id/3642610,,,02.12.1992,с 18 августа 2010 г.,False,54,1800000000,37000000,frame@tsb-oao-kontrakt.ru,,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"АО ""УК ""Транссервисгрупп""",https://www.rusprofile.ru/id/282184,,,15.08.2007,с 21 мая 2015 г.,False,0,1100000000,308000000,info@tservicegroup.ru,mc-tsg.ru,False,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Металкор Трэйд""",https://www.rusprofile.ru/id/3044863,,,19.07.2004,с 19 апреля 2022 г.,True,141,2300000000,-182000000,sales@metalcortrade.ru,www.metalcortrade.ru,False,['выручка положительная']
"ООО ""Лидер""",https://www.rusprofile.ru/id/3670803,,,05.10.2009,с 3 октября 2014 г.,False,26,4700000000,33000000,rybnikova@stroycity.ru,stroycity.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Компания Павлов""",https://www.rusprofile.ru/id/4123131,,,26.04.2002,с 19 августа 2025 г.,True,3,2000000000,-916000000,info@pavlov-company.ru,pavlov-company.ru,False,"['арбитражных дел не больше 5', 'выручка положительная']"
"АО ""Техинжойл""",https://www.rusprofile.ru/id/87583,,,12.05.2000,с 23 декабря 2011 г.,False,17,681000000,33000000,info@teoil.ru,teoil.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Селена Восток""",https://www.rusprofile.ru/id/3817286,,,18.05.2007,,True,65,7200000000,181000000,office@selenavostok.ru,www.selenavostok.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Иллюзион Групп""",https://www.rusprofile.ru/id/10485373,,,18.05.2016,,True,1,894000000,5300000,illuziongroup@proton.me,ooo-illuziongroup.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Рэйлальянс""",https://www.rusprofile.ru/id/1845819,,,27.03.2003,с 8 августа 2023 г.,True,265,44000000000,847000000,a.arykova@railall.ru,railall.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Капри""",https://www.rusprofile.ru/id/11781530,,,06.05.2019,с 20 февраля 2023 г.,True,8,516000000,3700000,kapri_2020@inbox.ru,betonych.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Бис Рус""",https://www.rusprofile.ru/id/1884119,,,14.12.2006,с 19 сентября 2022 г.,True,1,377000000,14000000,info@bisrus.com,bisrus.com,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Хр. Хансен""",https://www.rusprofile.ru/id/4435843,,,17.02.1999,с 7 февраля 2025 г.,True,13,1800000000,101000000,rudets@chr-hansen.com,chr-hansen.com,False,"['выручка положительная', 'прибыль положительная']"
"АО ""Спарта""",https://www.rusprofile.ru/id/4103862,,,24.06.2002,с 17 марта 2017 г.,True,17,1500000000,938000,ivashko@sparta.com.ru,sparta-components.ru,False,"['выручка положительная', 'прибыль положительная']"
"ЗАО"" НПК Эллирон""",https://www.rusprofile.ru/id/3713203,,,12.05.2000,с 13 сентября 2022 г.,True,91,4000000000,284000000,elliron@elliron.com,elliron.ru,False,"['выручка положительная', 'прибыль положительная']"
"АО ""Бик СНГ""",https://www.rusprofile.ru/id/756738,,,12.11.1996,с 29 декабря 2022 г.,True,35,4800000000,710000000,reseption.moscow@bicworld.com,bicworld.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Гермес""",https://www.rusprofile.ru/id/3702530,,,22.08.2007,с 17 июня 2011 г.,False,38,3900000000,158000000,germas@germes-ufa.ru,germes-ltd.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Автоэлектроконтакт Новые Технологии""",https://www.rusprofile.ru/id/3519106,,,07.08.2000,с 19 июня 2007 г.,False,7,840000000,65000000,info@avtocontact.ru,avtocontact.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Глобал-Клин""",https://www.rusprofile.ru/id/6889304,,,27.05.2013,с 31 июля 2023 г.,True,22,416000000,25000000,buhgalter@global-vet.ru,global-vet.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""АП ""Взлет""",https://www.rusprofile.ru/id/1276748,,,17.03.1992,с 17 апреля 2019 г.,True,4,333000000,120000,buh@ap-vzlet.ru,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"АО ""Фармамед""",https://www.rusprofile.ru/id/566657,,,28.02.1995,с 1 августа 2024 г.,True,32,6300000000,2000000000,info@pharmamed.ru,pharmamed.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Империал-Групп""",https://www.rusprofile.ru/id/5458176,,,28.12.2010,с 26 сентября 2022 г.,True,17,3600000000,302000000,info@impgrupp.ru,impgrupp.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Совмясторг""",https://www.rusprofile.ru/id/1234097,,,03.03.2004,с 23 ноября 2015 г.,True,7,717000000,51000000,eroshkina@sovmiastorg.ru,sovmiastorg.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Техком""",https://www.rusprofile.ru/id/1318600,,,27.11.2008,с 8 ноября 2011 г.,False,45,612000000,2000000,tehkom08@mail.ru,,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Керхер""",https://www.rusprofile.ru/id/1339933,,,05.02.2004,с 8 апреля 2022 г.,True,196,8800000000,268000000,info@ru.kaercher.com,kaercher.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Комус""",https://www.rusprofile.ru/id/6907446,,,06.05.2013,с 13 мая 2025 г.,True,2222,147000000000,1200000000,aloev@komus.net,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Скат""",https://www.rusprofile.ru/id/1311420,,,22.01.1998,с 6 марта 2008 г.,False,102,897000000,74000000,info@zoomlion-bobcat.ru,zoomlion-bobcat.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Торговый Дом ""Папиллонс-Регион""",https://www.rusprofile.ru/id/7848116,,,01.10.2015,с 6 сентября 2022 г.,True,32,1300000000,14000000,chel@thppl.ru,ppl-rgn.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Ковен""",https://www.rusprofile.ru/id/816920,,,27.04.2000,с 27 ноября 2020 г.,True,30,1000000000,7600000,info@coven-m.ru,coven-m.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Новая Линия""",https://www.rusprofile.ru/id/863460,,,03.02.2009,с 25 декабря 2013 г.,False,67,5300000000,89000000,julia.puzik@nlgsm.ru,vipabonent.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Альфа-Арс""",https://www.rusprofile.ru/id/3442150,,,20.03.1992,с 13 июня 2018 г.,True,67,315000000,-40000000,notary999@yandex.ru,alfa-ars.ru,False,['выручка положительная']
"ООО ""Ника-Премьер""",https://www.rusprofile.ru/id/5636956,,,26.09.2011,с 24 января 2025 г.,True,0,751000000,4900000,ooo.nika-premyer@ro.ru,nika-premer.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""ТК""Гранд""",https://www.rusprofile.ru/id/1536582,,,07.10.2003,с 3 ноября 2023 г.,True,0,1000000000,26000000,fpobpg@mail.ru,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Ликви Моли Руссланд""",https://www.rusprofile.ru/id/7248545,,,07.05.2014,с 17 марта 2022 г.,True,58,5100000000,555000000,a.gorodkov@liquimoly.ru,www.liquimoly.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Микар""",https://www.rusprofile.ru/id/7724896,,,05.02.2015,с 26 декабря 2023 г.,True,20,547000000,2000000,9456300@mail.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО""Безанта""",https://www.rusprofile.ru/id/3642088,,,24.08.1999,с 21 апреля 2025 г.,True,9,801000000,4400000,2316421@gmail.com,hotel-citi.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Интеропт""",https://www.rusprofile.ru/id/11180300,,,28.09.2017,с 6 декабря 2022 г.,True,7,3700000000,1200000,,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Оптик-Клуб""",https://www.rusprofile.ru/id/1379165,,,19.06.2003,с 29 декабря 2009 г.,False,39,5300000000,40000000,notary99@yandex.ru,optic-club.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Триал Маркет""",https://www.rusprofile.ru/id/3622703,,,26.03.2001,с 6 мая 2008 г.,False,1624,5000000000,-80000000,griae@trial-market.ru,,False,"['нет плашки истории руководителей', 'выручка положительная', 'нет сайта или почты']"
"ООО ""Промтех Инжиниринг""",https://www.rusprofile.ru/id/2795891,,,23.04.2007,с 18 июня 2014 г.,False,107,3900000000,-434000000,info@pt-eng.ru,pt-eng.ru,False,"['нет плашки истории руководителей', 'выручка положительная']"
"ООО ""Архимет""",https://www.rusprofile.ru/id/171169,,,17.11.2006,с 12 декабря 2014 г.,False,16,1000000000,134000000,info@archimetal.ru,,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Ремдип""",https://www.rusprofile.ru/id/880201,,,24.11.1999,с 6 августа 2024 г.,True,2,680000000,131000,,www.masservice.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Регион-Снаб""",https://www.rusprofile.ru/id/7857605,,,12.02.2015,с 15 августа 2025 г.,True,16,1500000000,5300000,info@regsn.ru,regsn.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Зетталайн""",https://www.rusprofile.ru/id/5818876,,,13.01.2012,с 8 ноября 2019 г.,True,6,326000000,22000000,info@zettaline.ru,zettaline.ru,False,"['выручка положительная', 'прибыль положительная']"
